algorithm,protocol_model,PAR2,Solved
BFS,TL-C_In_S_nodata,2.804210526315789,38
BFS,TL-C_In_S_data,2.9094736842105267,38
BFS,TL-C_NonIn_S_nodata,7.011874999999992,224
BFS,TL-C_NonIn_S_data,108.40910714285715,221
BFS,TL-C_In_M_data,2490.3552631578946,25
BFS,TL-C_NonIn_M_data,5179.958258928572,63
BFS,German_node2,2.848333333333333,6
BFS,German_node4,2.7875,20
BFS,German_node8,4495.730189393939,101
BFS,Flash_node2,2.7383333333333333,6
BFS,Flash_node4,2.94,20
BFS,Flash_node8,4457.889204545455,101
BFS,Godsont_node2,2.8333333333333335,6
BFS,Godsont_node4,384.84799999999996,19
BFS,Godsont_node8,5977.57037878788,45
DFS,TL-C_In_S_nodata,8.086578947368421,38
DFS,TL-C_In_S_data,8.549736842105263,38
DFS,TL-C_NonIn_S_nodata,208.3914285714286,218
DFS,TL-C_NonIn_S_data,809.371830357143,199
DFS,TL-C_In_M_data,5684.8184210526315,8
DFS,TL-C_NonIn_M_data,7135.736383928571,2
DFS,German_node2,2.8616666666666664,6
DFS,German_node4,2.8135000000000003,20
DFS,German_node8,6191.515643939395,37
DFS,Flash_node2,2.7616666666666667,6
DFS,Flash_node4,385.985,19
DFS,Flash_node8,6981.985113636363,8
DFS,Godsont_node2,2.8733333333333335,6
DFS,Godsont_node4,3967.053499999998,9
DFS,Godsont_node8,6954.637234848485,9
IDAstar,TL-C_In_S_nodata,3790.7197368421052,18
IDAstar,TL-C_In_S_data,3790.6981578947366,18
IDAstar,TL-C_NonIn_S_nodata,6621.640312500004,18
IDAstar,TL-C_NonIn_S_data,6621.638392857145,18
IDAstar,TL-C_In_M_data,4553.362105263157,14
IDAstar,TL-C_NonIn_M_data,7135.736517857143,2
IDAstar,German_node2,2.845,6
IDAstar,German_node4,1802.095,15
IDAstar,German_node8,5974.119280303032,45
IDAstar,Flash_node2,6000.468333333333,1
IDAstar,Flash_node4,6840.130999999999,1
IDAstar,Flash_node8,7172.737045454545,1
IDAstar,Godsont_node2,6000.468333333333,1
IDAstar,Godsont_node4,6840.1325,1
IDAstar,Godsont_node8,7172.737196969698,1
EDMC,TL-C_In_S_nodata,3.460526315789473,38
EDMC,TL-C_In_S_data,3.4805263157894726,38
EDMC,TL-C_NonIn_S_nodata,166.91571428571433,220
EDMC,TL-C_NonIn_S_data,957.8606249999999,195
EDMC,TL-C_In_M_data,574.3826315789477,35
EDMC,TL-C_NonIn_M_data,4887.780535714283,72
EDMC,German_node2,2.8466666666666662,6
EDMC,German_node4,2.775,20
EDMC,German_node8,1100.8732575757565,224
EDMC,Flash_node2,2.766666666666667,6
EDMC,Flash_node4,2.6759999999999997,20
EDMC,Flash_node8,24.66878787878789,264
EDMC,Godsont_node2,2.7983333333333333,6
EDMC,Godsont_node4,2.712,20
EDMC,Godsont_node8,2.6673863636363624,264
LS,TL-C_In_S_nodata,3.484473684210527,38
LS,TL-C_In_S_data,3.4757894736842108,38
LS,TL-C_NonIn_S_nodata,166.69254464285729,220
LS,TL-C_NonIn_S_data,957.780178571429,195
LS,TL-C_In_M_data,574.3844736842104,35
LS,TL-C_NonIn_M_data,4887.7745535714275,72
LS,German_node2,2.84,6
LS,German_node4,2.7664999999999997,20
LS,German_node8,1100.8890909090906,224
LS,Flash_node2,2.7783333333333338,6
LS,Flash_node4,2.6954999999999996,20
LS,Flash_node8,24.809924242424238,264
LS,Godsont_node2,2.7899999999999996,6
LS,Godsont_node4,2.7075000000000005,20
LS,Godsont_node8,2.6683712121212135,264
EDMC+H1,TL-C_In_S_nodata,4.044736842105263,38
EDMC+H1,TL-C_In_S_data,4.182631578947368,38
EDMC+H1,TL-C_NonIn_S_nodata,162.95571428571438,220
EDMC+H1,TL-C_NonIn_S_data,958.992767857143,195
EDMC+H1,TL-C_In_M_data,575.0123684210525,35
EDMC+H1,TL-C_NonIn_M_data,4887.977232142859,72
EDMC+H1,German_node2,3.7733333333333334,6
EDMC+H1,German_node4,3.5725000000000002,20
EDMC+H1,German_node8,1103.8464393939398,224
EDMC+H1,Flash_node2,3.3899999999999992,6
EDMC+H1,Flash_node4,3.4105,20
EDMC+H1,Flash_node8,21.330871212121217,264
EDMC+H1,Godsont_node2,2.5433333333333334,6
EDMC+H1,Godsont_node4,17.633999999999997,20
EDMC+H1,Godsont_node8,5573.767878787878,60
EDMC+H2,TL-C_In_S_nodata,3.1681578947368423,38
EDMC+H2,TL-C_In_S_data,3.201842105263158,38
EDMC+H2,TL-C_NonIn_S_nodata,7.091428571428559,224
EDMC+H2,TL-C_NonIn_S_data,10.393392857142867,224
EDMC+H2,TL-C_In_M_data,265.8773684210526,37
EDMC+H2,TL-C_NonIn_M_data,4484.168125,85
EDMC+H2,German_node2,3.481666666666667,6
EDMC+H2,German_node4,3.5835,20
EDMC+H2,German_node8,2777.0357575757575,171
EDMC+H2,Flash_node2,3.155,6
EDMC+H2,Flash_node4,3.2894999999999994,20
EDMC+H2,Flash_node8,2558.1577272727272,171
EDMC+H2,Godsont_node2,2.8333333333333335,6
EDMC+H2,Godsont_node4,367.248,19
EDMC+H2,Godsont_node8,5974.520909090909,45
EDMC+H3,TL-C_In_S_nodata,2.5689473684210524,38
EDMC+H3,TL-C_In_S_data,2.5449999999999995,38
EDMC+H3,TL-C_NonIn_S_nodata,3.1823660714285693,224
EDMC+H3,TL-C_NonIn_S_data,3.2906696428571425,224
EDMC+H3,TL-C_In_M_data,8.435263157894738,38
EDMC+H3,TL-C_NonIn_M_data,3842.217857142858,110
EDMC+H3,German_node2,2.815,6
EDMC+H3,German_node4,2.694000000000001,20
EDMC+H3,German_node8,2.6505303030303025,264
EDMC+H3,Flash_node2,2.7516666666666665,6
EDMC+H3,Flash_node4,2.6775,20
EDMC+H3,Flash_node8,2.626250000000003,264
EDMC+H3,Godsont_node2,2.813333333333333,6
EDMC+H3,Godsont_node4,2.7975000000000003,20
EDMC+H3,Godsont_node8,4.9725,264
LS+H1,TL-C_In_S_nodata,2.5902631578947366,38
LS+H1,TL-C_In_S_data,2.5513157894736844,38
LS+H1,TL-C_NonIn_S_nodata,5.067678571428558,224
LS+H1,TL-C_NonIn_S_data,69.47410714285719,222
LS+H1,TL-C_In_M_data,2.5689473684210533,38
LS+H1,TL-C_NonIn_M_data,679.9192857142858,203
LS+H1,German_node2,2.8166666666666664,6
LS+H1,German_node4,2.7344999999999997,20
LS+H1,German_node8,88.38950757575755,261
LS+H1,Flash_node2,2.72,6
LS+H1,Flash_node4,3.5365,20
LS+H1,Flash_node8,2582.0943560606056,170
LS+H1,Godsont_node2,2.5516666666666663,6
LS+H1,Godsont_node4,46.4875,20
LS+H1,Godsont_node8,4039.8891287878805,116
LS+H2,TL-C_In_S_nodata,2.59,38
LS+H2,TL-C_In_S_data,2.5526315789473686,38
LS+H2,TL-C_NonIn_S_nodata,3.627187500000006,224
LS+H2,TL-C_NonIn_S_data,4.285178571428571,224
LS+H2,TL-C_In_M_data,2.5702631578947375,38
LS+H2,TL-C_NonIn_M_data,1648.3138839285725,173
LS+H2,German_node2,2.8200000000000003,6
LS+H2,German_node4,2.744500000000001,20
LS+H2,German_node8,4.752537878787878,264
LS+H2,Flash_node2,2.76,6
LS+H2,Flash_node4,3.3145000000000002,20
LS+H2,Flash_node8,5894.206363636363,48
LS+H2,Godsont_node2,2.8316666666666666,6
LS+H2,Godsont_node4,2.823,20
LS+H2,Godsont_node8,4039.847537878789,116
LS+H3,TL-C_In_S_nodata,2.5939473684210532,38
LS+H3,TL-C_In_S_data,2.558684210526316,38
LS+H3,TL-C_NonIn_S_nodata,3.6605357142857184,224
LS+H3,TL-C_NonIn_S_data,4.355223214285712,224
LS+H3,TL-C_In_M_data,2.53,38
LS+H3,TL-C_NonIn_M_data,166.32107142857149,219
LS+H3,German_node2,2.848333333333333,6
LS+H3,German_node4,2.7345,20
LS+H3,German_node8,4.804318181818182,264
LS+H3,Flash_node2,2.7566666666666664,6
LS+H3,Flash_node4,3.9144999999999994,20
LS+H3,Flash_node8,309.97833333333335,254
LS+H3,Godsont_node2,2.5583333333333336,6
LS+H3,Godsont_node4,3.1435000000000004,20
LS+H3,Godsont_node8,71.78727272727271,264
